Hospital,Hospital type,Control type,Cost To Charge Ratio,Fiscal Year Begin Date,Total Bad Debt expense,Urban (1) and Rural (2) Indicator,FTE Employees on Payroll,Total Salaries,Total Days Title XVIII,Total Costs,Medicaid charges,HVBP payment adjustment amount,HAC reduction adjustment amount,"ADJUSTED SALARIES, Subtotal Salaries",REIMBURSEMENT SETTLEMENT: Interim payments,NUMBER OF BEDS: ICU,Total discharges,BED DAYS: Total Hospital,Total Charges,REIMBURSEMENT SETTLEMENT: Subtotal,REIMBURSEMENT SETTLEMENT: Payment to cost ratio,"Donations, Land Improvements",Fiscal Year End Date,Cost of Uncompensated Care,State,IPPS Payment amount (unadjusted),NUMBER OF BEDS: Adults & Pediatrics,NUMBER OF BEDS: Total Hospital,Net Revenue from Medicaid,Total Liabilities,Number of Interns & Residents,Total Days,IPPS Interim payment,Total cost of charity care,FFY
ST CHRISTOPHERS HOSPITAL FOR CHILDR (393307),Childrens,Proprietary-Corporation,,2014-01-01 00:00:00,,1.0,170.42,159099701.0,67.0,161165302.0,,,,79032578.0,110462.0,8.0,9149.0,68985.0,1776693790.0,150067.0,,,2014-12-31,,PA,,115.0,189.0,,82987247.0,964.2,40792.0,,,2014
ST CLARE HEALTH CENTER (260081),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,0.265876,2014-01-01 00:00:00,7234233.0,1.0,,48865098.0,14435.0,148952356.0,54045086.0,28624.0,,47909904.0,9257931.0,28.0,9401.0,65700.0,560233369.0,9407225.0,,,2014-12-31,9930449.0,MO,33265755.0,152.0,180.0,9349370.0,165205052.0,749.35,38971.0,28050606.0,7932751.0,2014
ST CLARE HOSPITAL (500021),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,0.172186,2014-07-01 00:00:00,7163111.0,1.0,,49554874.0,11918.0,124059061.0,213360018.0,-50685.0,,48004698.0,8885456.0,31.0,6225.0,38690.0,720494942.0,8874658.0,,,2015-06-30,4998170.0,WA,26050055.0,2.0,33.0,33218394.0,4750201.0,703.47,29151.0,22651663.0,3686921.0,2014
ST CROIX REGIONAL MEDICAL CENTER (521337),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,0.440129,2014-07-01 00:00:00,2219642.0,2.0,,26479214.0,2640.0,48731581.0,20444583.0,,,,8136244.0,3.0,1544.0,9125.0,110721230.0,6996444.0,,,2015-06-30,900449.0,WI,,22.0,25.0,8579813.0,22341777.0,427.07,5304.0,,,2014
ST ELIZABETH  COMMUNITY HOSPITAL (050042),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,0.204667,2014-07-01 00:00:00,12587254.0,2.0,,33683813.0,3774.0,70654455.0,118911818.0,18165.0,,28811993.0,8085199.0,8.0,2866.0,27740.0,345216750.0,8094889.0,,,2015-06-30,4853500.0,CA,13127378.0,68.0,76.0,11922100.0,12642380.0,359.09,8926.0,12929129.0,2177517.0,2014
ST ELIZABETH - GRANT COUNTY (181311),Critical Access Hospitals,Voluntary Nonprofit-Church,0.35104,2014-01-01 00:00:00,2941752.0,2.0,,5590960.0,398.0,16057970.0,14437535.0,,,,1815913.0,,289.0,5475.0,45743960.0,1729411.0,,,2014-12-31,1013009.0,KY,,15.0,15.0,4682149.0,4039442.0,89.85,774.0,,83310.0,2014
ST ELIZABETH BOARDMAN HEALTH CTR (360276),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,0.198145,2014-01-01 00:00:00,9413172.0,1.0,,35539790.0,13461.0,105214977.0,87746901.0,14950.0,,38677830.0,5705315.0,16.0,10550.0,57025.0,530999791.0,5644947.0,,,2014-12-31,5685367.0,OH,23181352.0,147.0,163.0,16892272.0,58010504.0,639.84,45322.0,20033036.0,3751991.0,2014
ST ELIZABETH FT THOMAS (180001),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,0.30743,2014-01-01 00:00:00,8516401.0,1.0,,36925397.0,12510.0,96472062.0,68588355.0,457.0,,34314629.0,5251683.0,10.0,6805.0,50005.0,313801417.0,5225849.0,,,2014-12-31,5713463.0,KY,21679361.0,120.0,137.0,15080128.0,36642719.0,611.01,29913.0,18890847.0,3069151.0,2014
ST ELIZABETH HEALTHCARE (180035),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,0.28729,2014-01-01 00:00:00,27670951.0,1.0,24.37,227494718.0,38749.0,470161241.0,270132836.0,128043.0,220731.0,220875229.0,27671912.0,34.0,28408.0,170090.0,1636537156.0,27873426.0,,,2014-12-31,19266679.0,KY,85187717.0,399.0,466.0,69961591.0,432930204.0,3288.48,116873.0,74989400.0,11205617.0,2014
ST FRANCIS CARMEL (150182),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,0.493588,2014-01-01 00:00:00,65459.0,1.0,,2682048.0,161.0,15091892.0,310060.0,,,2975853.0,1268824.0,,193.0,2190.0,30575874.0,1294846.0,,,2014-12-31,199142.0,IN,1622622.0,6.0,6.0,77259.0,2656109.0,44.96,286.0,1172898.0,168781.0,2014
ST FRANCIS H&H - MOORESVILLE (150057),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.263079,2014-01-01 00:00:00,4055917.0,1.0,0.38,19935756.0,4181.0,82148147.0,32824725.0,43895.0,,20518227.0,7069714.0,,2936.0,35770.0,312257058.0,7135953.0,,,2014-12-31,8777678.0,IN,13713359.0,88.0,98.0,8179094.0,4771981.0,352.86,9319.0,12176789.0,7689010.0,2014
ST FRANCIS HOSPITAL & HEALTH CENTERS (150162),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,0.252997,2014-01-01 00:00:00,16415869.0,1.0,20.07,138998121.0,35552.0,466207536.0,211975528.0,141039.0,,132004573.0,36500697.0,54.0,17446.0,143169.0,1842736340.0,36944496.0,,,2014-12-31,34035047.0,IN,92657588.0,237.0,390.0,52818955.0,56315456.0,3453.22,86678.0,85309952.0,29749012.0,2014
ST FRANCIS HOSPITAL (500141),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,0.177838,2014-07-01 00:00:00,8702997.0,1.0,5.61,68418902.0,11343.0,172533979.0,217056838.0,-105001.0,,64277887.0,11562501.0,14.0,9802.0,45260.0,970177666.0,11651137.0,,,2015-06-30,5660164.0,WA,29673293.0,110.0,124.0,34170120.0,1995690.0,919.87,33871.0,26142516.0,4036991.0,2014
ST FRANCIS HOSPITAL (510031),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,0.308132,2013-10-01 00:00:00,8273078.0,1.0,,29749280.0,5908.0,93810449.0,36006074.0,-10373.0,,28748451.0,12561422.0,15.0,3237.0,41245.0,304448916.0,12218557.0,,,2014-09-30,2823247.0,WV,13115049.0,98.0,113.0,5296378.0,55975700.0,584.58,12482.0,11683329.0,221208.0,2014
ST FRANCIS HOSPITAL INC (420023),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,0.154882,2014-09-01 00:00:00,26219810.0,1.0,,148116282.0,29739.0,391750655.0,127614732.0,119435.0,,117851589.0,36157518.0,33.0,17241.0,116435.0,2529353913.0,36475162.0,,,2015-08-31,15057236.0,SC,71007736.0,286.0,319.0,17547992.0,674756998.0,2023.73,77674.0,63499078.0,10809062.0,2014
ST JOHN HOSPITAL & MEDICAL CENTER (230165),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.328472,2014-07-01 00:00:00,39636636.0,1.0,249.38,257592305.0,47338.0,590203346.0,423192874.0,-210988.0,,197004699.0,62356965.0,52.0,26950.0,220095.0,1796816944.0,62838866.0,,,2015-06-30,13941682.0,MI,132147137.0,516.0,603.0,130085131.0,599467572.0,3595.47,137411.0,119696295.0,841365.0,2014
ST JOHN HOSPITAL (170009),General Short Term (Acute Care Hospitals),Proprietary-Corporation,0.241422,2014-01-01 00:00:00,2940735.0,1.0,,8983826.0,1770.0,22574316.0,5914112.0,9722.0,9390.0,7603500.0,1117182.0,6.0,981.0,20440.0,93505652.0,1140492.0,,,2014-12-31,4923401.0,KS,3276808.0,50.0,56.0,636375.0,17774243.0,133.89,2579.0,2985098.0,4208940.0,2014
ST JOHN MEDICAL CENTER (360123),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,0.239126,2014-01-01 00:00:00,10358206.0,1.0,38.98,56654149.0,15974.0,124674261.0,64284999.0,-30527.0,,52668542.0,10102873.0,36.0,11445.0,62780.0,521373814.0,10290702.0,,,2014-12-31,4665949.0,OH,40232793.0,136.0,172.0,10415905.0,67083301.0,970.0,38167.0,34911812.0,2116252.0,2014
ST JOHN SAPULPA (371312),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Church,0.346731,2013-10-01 00:00:00,4141938.0,1.0,,7673501.0,1429.0,20283052.0,11431090.0,,,,2591786.0,,532.0,9125.0,58497901.0,1679680.0,,,2014-09-30,2949495.0,OK,,25.0,25.0,2035375.0,47795065.0,145.76,3896.0,,1601569.0,2014
ST JOHNS REHABILITATION HOSPITAL (103027),Rehabilitation,Voluntary Nonprofit-Church,,2013-10-01 00:00:00,,1.0,,11730624.0,3622.0,26452259.0,,,,,94425.0,,507.0,9490.0,46933158.0,96350.0,,,2014-09-30,,FL,,26.0,26.0,,10669143.0,48.49,6953.0,,,2014
ST JOSEPH HOSPITAL (200001),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.400959,2014-01-01 00:00:00,9801816.0,1.0,,41217491.0,10351.0,89218608.0,53875573.0,56375.0,,38191169.0,10075072.0,7.0,3892.0,40880.0,222512897.0,10158143.0,,,2014-12-31,5341042.0,ME,18858473.0,105.0,112.0,8856961.0,45224000.0,523.0,18096.0,16583761.0,1447619.0,2014
ST JOSEPH HOSPITAL - EUREKA (050006),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.185719,2014-07-01 00:00:00,6294597.0,2.0,,64218058.0,14814.0,187085253.0,248862469.0,-83404.0,,55200442.0,25176036.0,20.0,5964.0,48545.0,1007358824.0,25223424.0,,,2015-06-30,5868898.0,CA,42052312.0,113.0,133.0,58897108.0,116161694.0,822.77,29968.0,38332935.0,4421414.0,2014
ST JOSEPH HOSPITAL LONDON (180011),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,0.229884,2014-07-01 00:00:00,8879130.0,2.0,,34558149.0,9782.0,106508648.0,143666005.0,111971.0,,29839331.0,13218797.0,14.0,5773.0,49020.0,463315686.0,13494848.0,,,2015-06-30,4807151.0,KY,22398253.0,136.0,150.0,30945082.0,162891899.0,576.07,23013.0,20251319.0,2284933.0,2014
ST JOSEPH MEDICAL CENTER (150047),General Short Term (Acute Care Hospitals),Proprietary-Corporation,0.167039,2014-06-01 00:00:00,28252352.0,1.0,5.14,33385826.0,5991.0,84631748.0,116267080.0,-36794.0,,32613214.0,5112201.0,8.0,5032.0,44165.0,506659878.0,5058862.0,,,2015-05-31,7468966.0,IN,14163521.0,101.0,121.0,22066460.0,31945860.0,561.51,29600.0,13143762.0,2644157.0,2014
ST JOSEPH MEDICAL CENTER (260085),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,0.260721,2014-07-01 00:00:00,11081498.0,1.0,,29896217.0,12492.0,89284923.0,21745849.0,-24014.0,,29644138.0,7410841.0,22.0,5146.0,39172.0,342454513.0,7488966.0,,,2015-02-12,4626558.0,MO,20872771.0,151.0,173.0,4606486.0,-38538440.0,801.74,25323.0,19219692.0,1708161.0,2014
ST JOSEPH MEDICAL CENTER (450035),General Short Term (Acute Care Hospitals),Proprietary-Corporation,0.153426,2013-11-01 00:00:00,67381497.0,1.0,43.32,87532141.0,7747.0,188855493.0,313077825.0,2961.0,,77937576.0,6212154.0,24.0,12029.0,90146.0,1230918538.0,6932606.0,,,2014-10-31,12650027.0,TX,29548442.0,191.0,250.0,34011713.0,284685113.0,1290.51,59593.0,26426215.0,2081054.0,2014
ST JOSEPH MEDICAL CENTER (500108),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,0.230311,2014-07-01 00:00:00,14825269.0,1.0,,217410663.0,32613.0,549354351.0,510627213.0,-191058.0,,180983277.0,24131669.0,74.0,25239.0,121545.0,2385267174.0,23447024.0,,,2015-06-30,11894129.0,WA,83498363.0,259.0,333.0,94203909.0,95789337.0,3025.43,108278.0,75281519.0,8357671.0,2014
ST JOSEPH MERCY - PORT HURON (230031),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.325183,2014-07-01 00:00:00,1629956.0,1.0,,31618133.0,7934.0,61218457.0,33625673.0,15644.0,118592.0,27446007.0,5079671.0,8.0,3677.0,56210.0,188258408.0,4987389.0,,,2015-06-30,1543747.0,MI,16128297.0,146.0,154.0,5334807.0,44372928.0,,14380.0,13724257.0,995570.0,2014
ST JOSEPH MERCY HOSPITAL ANN ARBOR (230156),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,0.294202,2014-07-01 00:00:00,8948317.0,1.0,137.28,267647625.0,52202.0,540488817.0,165959807.0,320984.0,,200721075.0,41973529.0,20.0,30375.0,165345.0,1837135682.0,42160209.0,,,2015-06-30,11848594.0,MI,146290884.0,392.0,453.0,39257920.0,719750387.0,3819.96,130228.0,133151371.0,9006868.0,2014
ST JOSEPH REGIONAL MEDICAL CENTER (130003),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,0.353011,2014-07-01 00:00:00,3326702.0,1.0,,57528191.0,9047.0,114133943.0,38115339.0,-45256.0,,43456366.0,17116919.0,9.0,4343.0,34310.0,323315354.0,17439943.0,,,2015-06-30,2737202.0,ID,26375252.0,85.0,94.0,10987354.0,43240240.0,794.08,17839.0,24372291.0,1563114.0,2014
ST JOSEPHS HEALTH SERVICES (521304),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,0.601645,2014-01-01 00:00:00,1235261.0,2.0,,6601831.0,602.0,18068759.0,4458043.0,,,,2446150.0,,222.0,9125.0,30032267.0,3004923.0,,,2014-12-31,897829.0,WI,,25.0,25.0,2051753.0,4468554.0,101.35,892.0,,189285.0,2014
ST JOSEPHS HOSPITAL & HEALTH CTR (351336),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Church,0.593154,2014-07-01 00:00:00,6162424.0,2.0,,22472065.0,2568.0,53971808.0,7549935.0,,,,4251823.0,5.0,1890.0,9125.0,90991234.0,4725218.0,,,2015-06-30,3719473.0,ND,,20.0,25.0,4194594.0,127780189.0,271.19,6873.0,,68844.0,2014
ST JUDE CHILDRENS RESEARCH HOSPITAL (443302),Childrens,Proprietary-Corporation,,2014-07-01 00:00:00,,,,,,,,,,,,,,,,,,,2015-06-30,,TN,,,,,,,,,,2014
ST JUDE MEDICAL CENTER FULLERTON (050168),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.222111,2014-07-01 00:00:00,21692302.0,1.0,,151097180.0,17818.0,391371419.0,213279541.0,-68305.0,,146019617.0,18768586.0,52.0,12653.0,114488.0,1762049910.0,18867775.0,,,2015-06-30,14520026.0,CA,53959555.0,248.0,314.0,27446856.0,403898513.0,1735.34,58717.0,48934911.0,9544996.0,2014
ST LANDRY EXTENDED CARE (192034),General Long Term,Proprietary-Corporation,0.38351,2014-09-01 00:00:00,,2.0,,2399033.0,6385.0,8257980.0,,,,2399033.0,,,318.0,14965.0,21532633.0,,,,2015-08-31,-34828.0,LA,,41.0,41.0,,335301.0,,7732.0,,,2014
ST LOUISE REGIONAL HOSPITAL (050688),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,0.194449,2014-07-01 00:00:00,8737058.0,1.0,,40141539.0,4735.0,84834314.0,126064492.0,-37641.0,,40236756.0,5276960.0,8.0,2903.0,26280.0,436280432.0,5314186.0,,,2015-06-30,2486648.0,CA,15477822.0,64.0,72.0,12353387.0,110119205.0,356.48,10586.0,14946979.0,724884.0,2014
ST LUKE COMMUNITY HOSPITAL (271325),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,0.596868,2014-01-01 00:00:00,2500417.0,2.0,,17535923.0,3187.0,29118687.0,8869561.0,,,,2837041.0,,807.0,9125.0,48785781.0,3072961.0,,,2014-12-31,1956010.0,MT,,25.0,25.0,6411401.0,22326074.0,277.29,4860.0,,495337.0,2014
ST LUKE HOSPITAL ANDERSON CAMPUS (390326),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.126171,2014-07-01 00:00:00,8548550.0,1.0,,40897869.0,12729.0,116085411.0,79781243.0,133685.0,,40191653.0,16877593.0,12.0,6033.0,28470.0,920060633.0,17146098.0,,,2015-06-30,2241336.0,PA,22073925.0,66.0,78.0,6044603.0,134401804.0,686.3,22938.0,19353777.0,1220851.0,2014
ST LUKES HEALTH MEMORIAL SAN AUGUST (451360),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,0.285096,2014-01-01 00:00:00,4183505.0,2.0,,2267742.0,833.0,5615501.0,2708395.0,,,,222183.0,,322.0,6570.0,19696851.0,187723.0,,,2014-12-31,1323678.0,TX,,18.0,18.0,400711.0,7601285.0,47.8,1182.0,,154980.0,2014
ST LUKES HOSPITAL (341322),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Church,0.319444,2013-10-01 00:00:00,3604590.0,2.0,,12783404.0,3459.0,24978548.0,5385310.0,,,,1392562.0,6.0,1050.0,9125.0,78193814.0,1364939.0,,,2014-09-30,1615839.0,NC,,19.0,25.0,1114761.0,9541909.0,236.75,5444.0,,466689.0,2014
ST LUKES HOSPITAL AT THE VINTAGE (670075),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.301701,2014-01-01 00:00:00,4089438.0,1.0,,11153279.0,1827.0,38210693.0,10064540.0,-13546.0,,11755554.0,1170350.0,16.0,1561.0,14118.0,126650700.0,1193880.0,,,2014-06-30,4109254.0,TX,3787484.0,62.0,78.0,972798.0,222700303.0,336.6,7442.0,3487605.0,2872038.0,2014
ST LUKES HOSPITAL AT THE VINTAGE (670075),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.295924,2014-07-01 00:00:00,6393273.0,1.0,,22932619.0,3427.0,79415757.0,22394098.0,-9300.0,,25296193.0,2449667.0,16.0,3338.0,28470.0,268365677.0,2468228.0,,,2015-06-30,8198450.0,TX,6996582.0,62.0,78.0,2726688.0,235091018.0,333.0,15080.0,6369183.0,6299624.0,2014
ST LUKES MAGIC VALLEY REG MED CTR (130002),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.401618,2013-10-01 00:00:00,24265174.0,1.0,,94037988.0,13057.0,210222278.0,71450282.0,88272.0,,63760435.0,20279468.0,21.0,9020.0,57670.0,523438697.0,20599936.0,,,2014-09-30,16632919.0,ID,34865093.0,119.0,158.0,28736994.0,164758895.0,1836.76,33302.0,32559327.0,6908145.0,2014
ST LUKES WARREN HOSPITAL (310060),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.117173,2014-07-01 00:00:00,13029560.0,1.0,14.89,41362352.0,12798.0,92532049.0,149308564.0,48100.0,,38186580.0,10585647.0,12.0,4043.0,40561.0,789701398.0,10619292.0,,,2015-06-30,5702226.0,NJ,25498798.0,82.0,94.0,13883300.0,49353089.0,679.31,20222.0,22754324.0,4216982.0,2014
ST MARKS HOSPITAL (460047),General Short Term (Acute Care Hospitals),Proprietary-Corporation,0.191055,2014-07-01 00:00:00,22754689.0,1.0,14.74,75319493.0,14437.0,218001516.0,92804000.0,-125568.0,314927.0,67609887.0,11090176.0,18.0,13310.0,83414.0,1141042757.0,11270523.0,,,2015-06-30,13413652.0,UT,41558167.0,183.0,233.0,22800250.0,1174640.0,1115.3,58417.0,36850097.0,9008822.0,2014
ST MARTIN HOSPITAL (191302),General Short Term (Critical Access Hospitals),Governmental-Hospital District,0.458176,2013-10-01 00:00:00,3980214.0,1.0,,6223633.0,3730.0,14497849.0,5770155.0,,,,1614542.0,,187.0,9125.0,31642530.0,1460410.0,,,2014-09-30,1888921.0,LA,,25.0,25.0,2525888.0,6916554.0,128.56,4272.0,,65282.0,2014
ST MARY CORWIN MEDICAL CENTER (060012),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.200088,2014-07-01 00:00:00,3940577.0,1.0,16.18,68563405.0,9634.0,139716270.0,191696210.0,-32624.0,172339.0,49858446.0,12771483.0,20.0,5806.0,47085.0,698272401.0,13531366.0,,,2015-06-30,3597719.0,CO,24339741.0,109.0,129.0,29960717.0,20544525.0,,24584.0,22098523.0,2670347.0,2014
ST MARY MEDICAL CENTER (050300),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.201473,2014-07-01 00:00:00,15588882.0,1.0,,105938548.0,17962.0,276270044.0,447614026.0,-63275.0,,105469195.0,7189440.0,28.0,15437.0,77380.0,1371250094.0,7082267.0,,,2015-06-30,7366932.0,CA,46847305.0,184.0,212.0,68569089.0,94112678.0,1262.88,65335.0,41460747.0,4116538.0,2014
ST MARYS GOOD SAMARITAN (111329),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,0.313252,2014-07-01 00:00:00,4687376.0,2.0,,7713507.0,3127.0,20241238.0,4705737.0,,,,3503898.0,,689.0,9125.0,64616388.0,1436983.0,,,2015-06-30,2608757.0,GA,,25.0,25.0,1378380.0,41295893.0,142.6,4977.0,,1154919.0,2014
ST MARYS HEALTH CARE SYSTEM  INC (110006),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.243605,2014-07-01 00:00:00,11205915.0,1.0,,57455725.0,11275.0,154413049.0,59384495.0,4950.0,,50639640.0,10653086.0,71.0,8387.0,62651.0,633865714.0,10869930.0,,,2015-06-30,8424233.0,GA,28124495.0,100.0,171.0,14015445.0,41806207.0,891.18,36654.0,25437985.0,5556854.0,2014
ST MARYS HOSPITAL (140166),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,0.200941,2014-07-01 00:00:00,4260381.0,1.0,0.86,41420267.0,13044.0,105142495.0,114217833.0,-6246.0,,37345991.0,11190200.0,12.0,7477.0,71540.0,523249935.0,11019998.0,,,2015-06-30,3224602.0,IL,27173065.0,184.0,196.0,11782891.0,79380000.0,778.4,32577.0,23962962.0,2231049.0,2014
ST MARYS HOSPITAL SUPERIOR (521329),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,0.499059,2014-07-01 00:00:00,4236125.0,1.0,,17782396.0,2417.0,32260080.0,15311258.0,,,,4882615.0,,294.0,9125.0,64641789.0,5430715.0,,,2015-06-30,2846302.0,WI,,25.0,25.0,4554234.0,2893361.0,203.31,3173.0,,875256.0,2014
ST MARYS MEDICAL CENTER (100288),General Short Term (Acute Care Hospitals),Proprietary-Corporation,0.164932,2014-06-01 00:00:00,26917908.0,1.0,,102564580.0,10150.0,253192866.0,524378172.0,-2263.0,,99567311.0,2112454.0,26.0,16203.0,136510.0,1535133507.0,2211629.0,,,2015-05-31,19045980.0,FL,31549357.0,303.0,374.0,71250973.0,39798198.0,1200.63,99583.0,30106198.0,14473967.0,2014
ST MARYS MEDICAL CENTER (260193),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,0.255719,2014-07-01 00:00:00,6985924.0,1.0,21.35,15370908.0,4101.0,40001641.0,10086111.0,-7496.0,53995.0,14401780.0,2687702.0,8.0,2468.0,16571.0,156427971.0,2725796.0,,,2015-02-12,2988280.0,MO,8990946.0,65.0,73.0,1497985.0,9021386.0,384.65,9340.0,7490421.0,1182636.0,2014
ST MARYS REGIONAL MEDICAL CENTER (290009),General Short Term (Acute Care Hospitals),Proprietary-Other,0.199268,2014-01-01 00:00:00,13244055.0,2.0,,97135697.0,18683.0,234273884.0,211165038.0,-29957.0,,88789503.0,13187522.0,28.0,16930.0,91980.0,1175670067.0,13432624.0,,,2014-12-31,7852965.0,NV,58430727.0,195.0,252.0,17617269.0,189802742.0,1454.0,62180.0,52044354.0,5213849.0,2014
ST MARYS REGL MEDICAL CENTER (370026),General Short Term (Acute Care Hospitals),Proprietary-Corporation,0.185726,2014-01-01 00:00:00,3875819.0,2.0,,25920817.0,9841.0,70244267.0,24510818.0,9734.0,,26499989.0,8164360.0,11.0,4404.0,46355.0,378214946.0,8117260.0,,,2014-12-31,4863301.0,OK,18056682.0,116.0,127.0,3016395.0,8915229.0,443.31,16572.0,15497302.0,4052935.0,2014
ST PATRICK HOSPITAL (270014),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,0.322003,2014-01-01 00:00:00,4185044.0,1.0,10.4,60675474.0,17499.0,192641995.0,46732885.0,122897.0,124176.0,57832053.0,26227545.0,24.0,7610.0,54385.0,598260563.0,26839419.0,,,2014-12-31,16812304.0,MT,48639094.0,125.0,149.0,13296795.0,78305290.0,955.07,33831.0,43181635.0,15439745.0,2014
ST ROSE DOMINICAN - DELIMA (290012),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,0.158231,2014-07-01 00:00:00,29793605.0,1.0,,61310488.0,8340.0,127963671.0,149986980.0,-60257.0,,55617207.0,6544775.0,10.0,4790.0,29565.0,808715432.0,6648366.0,,,2015-06-30,10717845.0,NV,19757838.0,71.0,81.0,8536369.0,171169956.0,585.19,21113.0,17435256.0,5926731.0,2014
ST ROSE DOMINICAN - SIENA (290045),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.161767,2014-07-01 00:00:00,59472699.0,1.0,17.39,137110074.0,21232.0,323707217.0,236012248.0,-256987.0,452898.0,132734419.0,16981521.0,52.0,16800.0,83950.0,2001071097.0,17115562.0,,,2015-06-30,12022013.0,NV,60241267.0,178.0,230.0,16294922.0,212761717.0,1418.02,75378.0,53935163.0,2288557.0,2014
ST ROSE HOSPITAL (050002),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.173031,2013-10-01 00:00:00,15418988.0,1.0,,58007406.0,9806.0,112751963.0,247833498.0,-16777.0,,58397742.0,4299079.0,15.0,5642.0,71175.0,651628078.0,4302119.0,,,2014-09-30,3784763.0,CA,32381522.0,180.0,195.0,35087539.0,91694059.0,630.16,26054.0,29481306.0,896541.0,2014
ST THERESA SPECIALTY HOSPITAL (192030),General Long Term,Proprietary-Corporation,0.582363,2014-09-01 00:00:00,,1.0,,4655190.0,2040.0,10411251.0,,,,4655190.0,,,285.0,11315.0,17877600.0,,,,2015-08-31,-39713.0,LA,,31.0,31.0,,17560262.0,87.69,5369.0,,,2014
ST THOMAS MORE HOSPITAL (060016),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.329597,2014-07-01 00:00:00,1126441.0,2.0,,25322921.0,2504.0,48368109.0,37126906.0,20990.0,,16324780.0,3655651.0,4.0,1806.0,9125.0,146749270.0,3735285.0,,,2015-06-30,1657903.0,CO,6445472.0,21.0,25.0,8894931.0,4348297.0,344.57,6506.0,6808108.0,1285226.0,2014
ST VINCENT CHARITY MEDICAL CENTER (360037),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,0.286288,2014-01-01 00:00:00,5826269.0,1.0,64.86,58920599.0,8312.0,126950442.0,110783010.0,3887.0,68302.0,49462234.0,5787496.0,18.0,6506.0,58035.0,443435644.0,5698234.0,,,2014-12-31,5486307.0,OH,28813157.0,131.0,159.0,22631638.0,28435358.0,980.0,28052.0,25958825.0,3749259.0,2014
ST VINCENT DUNN (151335),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,0.36066,2014-07-01 00:00:00,2732881.0,2.0,,7913146.0,1856.0,22018765.0,13432540.0,,,,2703097.0,,875.0,9125.0,61051298.0,1944974.0,,,2015-06-30,1400542.0,IN,,25.0,25.0,3605477.0,11786356.0,141.61,3635.0,,573019.0,2014
