Hospital,Hospital type,Control type,Total cost of charity care,HVBP payment adjustment amount,Total Days Title XVIII,Urban (1) and Rural (2) Indicator,Fiscal Year End Date,"ADJUSTED SALARIES, Subtotal Salaries",NUMBER OF BEDS: Adults & Pediatrics,"Donations, Land Improvements",Total Liabilities,STATEMENT OF REVENUES AND EXPENSES: Net Patient Revenue (G3_C1_3),REIMBURSEMENT SETTLEMENT: Payment to cost ratio,BALANCE SHEET: Total Current Liabilities (G_C1THRU4_45),Total Salaries,STATEMENT OF REVENUES AND EXPENSES: Net Income (G3_C1_29),IPPS Payment amount (unadjusted),REIMBURSEMENT SETTLEMENT: Interim payments,Net Revenue from Medicaid,Total Bad Debt expense,BALANCE SHEET: Total Assets (G_C1THRU4_36),BALANCE SHEET: Cash on Hand and in Banks (G_C1THRU4_1),BED DAYS: Total Hospital,Total Costs,NUMBER OF BEDS: ICU,Cost of Uncompensated Care,Cost To Charge Ratio,Number of Interns & Residents,Fiscal Year Begin Date,BALANCE SHEET: Inventory (G_C1THRU4_7),FTE Employees on Payroll,REIMBURSEMENT SETTLEMENT: Subtotal,Total Inpatient Days,BALANCE SHEET: Temporary Investments (G_C1THRU4_2),"RECONCILIATION OF CAPITAL COST CENTERS: Depreciation, Total (A7_3_C9_3)",TRIAL BALANCE OF EXPENSE ACCOUNTS: Interest Expense (A_C2_113),BALANCE SHEET: Prepaid expenses (G_C1THRU4_8),IPPS Interim payment,Medicaid charges,BALANCE SHEET: Total Current Assets (G_C1THRU4_11),Total Charges,BALANCE SHEET: Accounts Receivable (G_C1THRU4_4),HAC reduction adjustment amount,NUMBER OF BEDS: Total Hospital,State,Total discharges,Report_Period_Begin_Yr,Financial Indicators: Total Net Assets,S-10 DATA: Medicaid Costs,Financial Indicators: Cash Reserves,Financial Indicators: Net Profit Margin,Financial Indicators: Operating Profit,Financial Indicators: Operating Profit Margin,Financial Indicators: LIQUIDITY current ratio,Financial Indicators: LIQUIDITY acid-test ratio,Financial Indicators: LIQUIDITY acid-test ratio (variation),Financial Indicators: LIQUIDITY cash ratio,Financial Indicators: SOLVENCY Debt-to-Equity Ratio,Financial Indicators: SOLVENCY Debt Ratio,Financial Indicators: SOLVENCY Equity Ratio,Financial Indicators: SOLVENCY Interest Coverage Ratio,Financial Indicators: SOLVENCY total assets less total liabilities,Financial Indicators: EFFICIENCY asset turnover ratio,Financial Indicators: EFFICIENCY Accounts Receivable Turnover Ratio,: General Ownership Type
STURGIS REGIONAL HOSPITAL (431321),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,342921.0,,3364.0,1.0,2011-06-30,,22.0,,7904153.0,15413617.0,,7904153.0,7361745.0,633128.0,,844487.0,387941.0,512941.0,9962266.0,12916.0,9125.0,12984966.0,3.0,596307.0,0.557162,113.06,2010-07-01 00:00:00,218525.0,,862442.0,4295.0,,664887.0,24837.0,96509.0,,1053869.0,2373744.0,23305539.0,2300218.0,,25.0,SD,507.0,2010,2058113.0,587175.7597780001,12916.0,0.041075887638832596,436481.0,0.028317882817511294,0.30031604904409115,0.29264792824734037,0.2604592800771949,0.001634077680429516,3.8404854349591107,0.793409150086938,0.20659084991306195,44.34384184885453,2058113.0,1.5471999041181996,6.700937476360936,non-profit
SUBURBAN HOSPITAL (210022),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,2994418.0,,33640.0,1.0,2011-06-30,88286241.0,158.0,,136289369.0,241455971.0,,50758381.0,98133475.0,20529961.0,88047019.0,21218820.0,6777324.0,10355421.0,293464782.0,19060954.0,81030.0,201247351.0,40.0,10732931.0,0.747291,1296.22,2010-07-01 00:00:00,7501763.0,7.73,15836680.0,60477.0,,13172641.0,1054735.0,4474845.0,81299179.0,8677752.0,71596681.0,269302415.0,33616232.0,,222.0,MD,14196.0,2010,157175413.0,6484805.969832,19060954.0,0.08502569190968567,-1228761.0,-0.005088965060217956,1.4105390989519544,1.0378027226676123,1.1745857890936278,0.37552328550431896,0.8671163408999599,0.46441473512143616,0.5355852648785638,11.324057701697583,157175413.0,0.8227766526342504,7.182719675423468,non-profit
SULLIVAN COUNTY MEMORIAL HOSPITAL (261306),General Short Term (Critical Access Hospitals),Governmental-County,32167.0,,968.0,2.0,2011-10-31,,21.0,,1841828.0,5301019.0,,1454199.0,2980232.0,-427018.0,,724386.0,612305.0,564474.0,2834484.0,134098.0,7665.0,6103406.0,,430402.0,0.742825,60.09,2010-11-01 00:00:00,51128.0,,721673.0,2293.0,,260749.0,29145.0,11981.0,,1178733.0,1712860.0,8216481.0,1095006.0,,21.0,MO,309.0,2010,992656.0,875592.3407249999,134098.0,-0.08055394632616861,-1148449.0,-0.21664683714583932,1.1778718043403964,0.8452103185327455,1.1344740300330285,0.09221433930294272,1.8554544575361454,0.649793048752436,0.35020695124756396,-30.458054554812147,992656.0,1.8701883658542438,4.841086715506582,govt
SUMMERS COUNTY ARH (511310),Critical Access Hospitals,Voluntary Nonprofit-Other,673125.0,,2591.0,2.0,2011-06-30,,25.0,,323794.0,12311301.0,,705896.0,6175456.0,-1344153.0,,1246805.0,1579836.0,1619546.0,4419744.0,34658.0,9125.0,12977085.0,,1197952.0,0.351274,121.41,2010-07-01 00:00:00,149813.0,,970926.0,3226.0,,551473.0,38749.0,15833.0,,5744161.0,2892718.0,36942885.0,2650818.0,,25.0,WV,618.0,2010,4095950.0,2017774.4111139998,34658.0,-0.10918041886881005,-2560279.0,-0.20796169308182783,4.097937939866496,3.8043507825515372,3.8632773099720072,0.04909788410757392,0.07905223452434722,0.07326080424567577,0.9267391957543243,-51.84149268368216,4095950.0,2.7855235506852885,4.6443403507898315,non-profit
SUMMIT (364035),Psychiatric,Governmental-State,,,898.0,1.0,2011-06-30,,280.0,,,,,,33986594.0,-42129706.0,,178310.0,,,,,102200.0,38708574.0,,,,448.0,2010-07-01 00:00:00,,,139602.0,92117.0,,3608801.0,,,,,,736936.0,,,280.0,OH,539.0,2010,,,0.0,,,,,,,,,,,,,,,govt
SUMNER REGIONAL MEDICAL CENTER (440003),General Short Term (Acute Care Hospitals),Proprietary-Corporation,1352235.0,,6908.0,1.0,2011-04-30,24342306.0,120.0,,161405779.0,65086629.0,,11815554.0,24970197.0,-1813937.0,14060034.0,3187161.0,5661920.0,,159528378.0,390129.0,33396.0,57305556.0,18.0,1248750.0,0.256483,687.89,2010-09-01 00:00:00,2417227.0,,2851421.0,17058.0,,6245409.0,,820417.0,13508435.0,33917978.0,16871725.0,223428672.0,9326374.0,,138.0,TN,4413.0,2010,-1877401.0,8699384.751374,390129.0,-0.0278695797872709,-3463860.0,-0.05321922571838834,1.4279250046167957,0.8223484908113492,1.1539095839264075,0.03301825712107955,-85.97299085277999,1.0117684453608624,-0.011768445360862379,,-1877401.0,0.4079940498109998,6.97877106365239,for-profit
SUNBURY COMMUNITY HOSPITAL (390084),General Short Term (Acute Care Hospitals),Proprietary-Corporation,91813.0,,4054.0,2.0,2011-06-30,9313545.0,83.0,,59446661.0,27006132.0,,62586030.0,10330979.0,-8840422.0,6140360.0,2023727.0,2103875.0,1480924.0,25037353.0,-26681.0,32957.0,23421460.0,7.0,345164.0,0.201441,209.97,2010-07-01 00:00:00,1213842.0,,1682344.0,7528.0,,2222165.0,,359043.0,5510553.0,15614213.0,4870954.0,116269485.0,3730562.0,,90.0,PA,1710.0,2010,-34409308.0,3145342.680933,0.0,-0.3273486925117599,-9069118.0,-0.33581699148919214,0.07782813512855824,0.059606944233401606,0.05269656822776585,0.0,-1.7276331450780702,2.374318922611348,-1.374318922611348,,-34409308.0,1.0786336718582032,7.2391591400973905,for-profit
SUNRISE CANYON HOSPITAL (454093),Psychiatric,Governmental-State,,,487.0,1.0,2011-08-31,,30.0,,,458344.0,,,1661451.0,989400.0,,,,,989400.0,,9960.0,4091117.0,,,,36.41,2010-09-01 00:00:00,,,,6523.0,,81614.0,,,,,,3584254.0,,,30.0,TX,508.0,2010,,,0.0,2.158640671635278,-2504297.0,-5.463793569895101,,,,,,,,,,0.4632544976753588,inf,govt
SUNRISE HAVEN (501992),Religious Non-Medical,Voluntary Nonprofit-Church,,,1028.0,1.0,2011-09-30,715538.0,5.0,,69727.0,659286.0,,69727.0,825718.0,-56311.0,,,,,2882720.0,48323.0,1825.0,1065696.0,,,,12.99,2010-10-01 00:00:00,3970.0,,,1442.0,269487.0,61854.0,,14850.0,,,468446.0,671434.0,131816.0,,5.0,WA,45.0,2010,2812993.0,,317810.0,-0.08541209732953528,-462869.0,-0.7020761854491071,6.718287033717211,6.448377242675004,6.448377242675004,0.6930313938646435,0.02478747725287621,0.02418791974246545,0.9758120802575345,,2812993.0,0.228702752955542,5.001562784487468,non-profit
SURGICAL SPECIALTY HOSP OF AZ (030108),General Short Term (Acute Care Hospitals),Proprietary-Partnership,,,611.0,1.0,2011-05-31,6129656.0,27.0,,6826231.0,23157089.0,,2838615.0,6129656.0,1069753.0,4790473.0,360783.0,252186.0,298764.0,10156227.0,392791.0,12045.0,22302031.0,,89523.0,0.299643,107.71,2010-06-01 00:00:00,511051.0,,360783.0,2437.0,,723262.0,,160214.0,4429121.0,2080725.0,3138988.0,74428598.0,2043951.0,,33.0,AZ,1564.0,2010,3329996.0,623474.681175,392791.0,0.04619548683342712,855058.0,0.03692424380283722,1.1058167451380339,0.8584263804707577,0.8693405058452802,0.1383741719113018,2.0499216815876053,0.6721227282533169,0.3278772717466831,,3329996.0,2.280087772752618,11.329571501469458,for-profit
SURPRISE VALLEY HEALTH CARE DISTRICT (051308),General Short Term (Critical Access Hospitals),Governmental-Hospital District,,,299.0,2.0,2011-06-30,,4.0,,675669.0,3672379.0,,649684.0,1685817.0,-140077.0,,422426.0,123509.0,238982.0,1080937.0,333812.0,1460.0,3965387.0,,223070.0,1.022145,26.27,2010-07-01 00:00:00,79366.0,,455132.0,555.0,11.0,71046.0,5434.0,,,212360.0,810370.0,3889209.0,421872.0,,4.0,CA,18.0,2010,405268.0,217062.7122,333823.0,-0.03814339424117173,-436395.0,-0.11883168921290531,1.247329470942797,1.1631731734196933,,0.5138067121862321,1.6672152748304825,0.6250771321547879,0.37492286784521206,-67.2338976812661,405268.0,3.397403363933328,8.704960272310085,govt
SW MISSOURI PSYCHIATRIC REHAB CTR. (264027),Psychiatric,Governmental-State,,,418.0,2.0,2011-06-30,2456950.0,4.0,,,302153.0,,,2864977.0,-3830409.0,,,,,,,5840.0,3778620.0,,,1.31373,81.91,2010-07-01 00:00:00,,,,5388.0,,17245.0,,,,,,2876253.0,,,16.0,MO,106.0,2010,,,0.0,-12.677051030438221,-3830771.0,-12.678249098966418,,,,,,,,,,,inf,govt
SWAIN COUNTY HOSPITAL (341305),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,252375.0,,1136.0,2.0,2011-09-30,,24.0,,7513479.0,11731676.0,,942828.0,4367645.0,883195.0,,2096276.0,1350642.0,3058095.0,8467636.0,137722.0,8760.0,9550325.0,,1454306.0,0.44034,90.89,2010-10-01 00:00:00,103891.0,,1666764.0,1566.0,,542844.0,272486.0,,,3750655.0,2041930.0,21688511.0,1792709.0,,24.0,NC,539.0,2010,954157.0,1651563.4227,137722.0,0.07528293485091132,900578.0,0.0767646498249696,2.1657502747054607,2.0474901042395857,,0.14607330287178574,7.874468247887926,0.8873171921891777,0.1126828078108223,5.297233619341911,954157.0,1.3854724033957058,6.544105038798824,non-profit
SWEDISH COVENANT HOSPITAL (140114),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,5426843.0,,24786.0,1.0,2011-09-30,90094003.0,198.0,,282304312.0,233436036.0,,64865546.0,98359440.0,-10045793.0,57892251.0,14199025.0,22664138.0,10341145.0,399188397.0,-77000.0,82490.0,202346052.0,28.0,6881040.0,0.1804,1602.44,2010-10-01 00:00:00,3074570.0,48.51,13436848.0,56566.0,,15762744.0,,4051674.0,54779533.0,217828799.0,51081582.0,1121652607.0,11454267.0,,226.0,IL,12266.0,2010,116884085.0,39296315.339600004,0.0,-0.043034456770847496,-9912969.0,-0.0424654615022678,0.7874994530994929,0.17658476196284542,0.6776376784063454,0.0,2.4152502199080397,0.7071956853495419,0.29280431465045814,,116884085.0,0.5847766061196413,20.37983190019929,non-profit
SWEDISH MEDICAL CENTER (060034),General Short Term (Acute Care Hospitals),Proprietary-Corporation,4904782.0,,26856.0,1.0,2011-09-30,102748238.0,271.0,,-1060743360.0,463912199.0,,24787473.0,110748051.0,128070605.0,62195111.0,10973936.0,17892665.0,14307241.0,224724055.0,427455.0,117814.0,304994162.0,42.0,7185007.0,0.166559,1689.81,2010-10-01 00:00:00,13454075.0,20.01,10651203.0,90148.0,,27187284.0,,1320027.0,57825785.0,160744102.0,74082978.0,1831151203.0,95393459.0,,334.0,CO,18803.0,2010,224724055.0,26773376.885018002,427455.0,0.27606647394930867,125592370.0,0.27072443938901464,2.988726523272461,3.865699177967839,2.3926955361686124,0.017244799419448686,0.0,0.0,1.0,,224724055.0,2.0643637771666232,4.863144746643478,for-profit
SWEDISHAMERICAN HOSPITAL (140228),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,14566495.0,,31661.0,1.0,2011-05-31,112085580.0,271.0,,210664000.0,402201000.0,,65808000.0,158461085.0,22062000.0,60163961.0,19635888.0,45712567.0,33586325.0,452130000.0,28903000.0,109787.0,286234041.0,30.0,22369877.0,0.245335,2060.07,2010-06-01 00:00:00,4972000.0,19.5,18773688.0,78310.0,4236000.0,17999454.0,,8547000.0,56034446.0,223046497.0,103448000.0,1166705759.0,56790000.0,,301.0,IL,19153.0,2010,241466000.0,54721112.341495,33139000.0,0.05485317042971052,-34036000.0,-0.08462435448942196,1.5719669341113542,1.3665359834670556,1.3665359834670556,0.43920192073911984,0.8724375274365749,0.46593678809192046,0.5340632119080795,,241466000.0,0.8895693716408998,7.082250396196513,non-profit
SWEENY COMMUNITY HOSPITAL (451311),General Short Term (Critical Access Hospitals),Governmental-Hospital District,125961.0,,418.0,2.0,2011-09-30,,14.0,,1495628.0,7135695.0,,1278790.0,4219126.0,-757426.0,,2467986.0,1921279.0,1903177.0,-6084157.0,1232333.0,5110.0,10651980.0,,1170959.0,0.584903,131.72,2010-10-01 00:00:00,153280.0,,1955393.0,855.0,,527692.0,9095.0,53571.0,,4252168.0,-10390340.0,18211535.0,4248589.0,,14.0,TX,343.0,2010,-1495628.0,2487105.819704,1232333.0,-0.10614607266706326,-1235649.0,-0.17316449203616466,0.0,4.286021942617631,-0.16175525301261348,0.9636711266118753,-1.0,inf,-inf,-77.84024189114898,-1495628.0,inf,1.6795446676531902,govt
SWEETWATER HOSPITAL ASSOCIATION (440084),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,538508.0,,6320.0,2.0,2011-06-30,14018695.0,59.0,,3001355.0,39280306.0,,2454120.0,15976262.0,2487904.0,7928985.0,2332516.0,5420368.0,,46729285.0,3263320.0,21535.0,28523706.0,,365637.0,0.295816,387.05,2010-07-01 00:00:00,928699.0,,2071730.0,11887.0,13840200.0,2752690.0,,114408.0,7389289.0,22741226.0,24587365.0,99553585.0,19078978.0,,59.0,TN,2545.0,2010,43727930.0,6727218.510416,17103520.0,0.06333718479688015,1932620.0,0.04920073687816994,10.01881122357505,14.74357325640148,9.593768030903135,1.3297312274868385,0.06863702443724183,0.06422856673283146,0.9357714332671685,,43727930.0,0.8405929172680472,2.058826526242653,non-profit
SWGRMC (111300),General Short Term (Critical Access Hospitals),Governmental-County,307568.0,,1092.0,2.0,2011-06-30,,25.0,,1305560.0,15711788.0,,1238091.0,6549819.0,60348.0,,945841.0,628497.0,,6922984.0,2344768.0,9125.0,13140487.0,,191753.0,0.538638,107.71,2010-07-01 00:00:00,252812.0,,738066.0,2264.0,,185509.0,6025.0,,,2940361.0,4477314.0,24395748.0,3975204.0,,25.0,GA,239.0,2010,5617424.0,1583790.168318,2344768.0,0.003840937772327376,-479261.0,-0.030503275629737366,3.6163044558114064,5.104610242704292,,1.8938575597431853,0.23241257914659816,0.18858342009746087,0.8114165799025391,-48.75551867219917,5617424.0,2.269510950769206,3.9524482265564234,govt
SWISHER MEMORIAL HEALTHCARE SYSTEM (451349),General Short Term (Critical Access Hospitals),Governmental-Hospital District,,,1160.0,1.0,2011-05-31,,20.0,,1128185.0,,,1128185.0,2666058.0,-6072103.0,,597838.0,32661.0,706516.0,4017016.0,652387.0,4860.0,5866847.0,,618090.0,0.874842,60.26,2010-10-01 00:00:00,,,540002.0,1393.0,,220165.0,30129.0,3978.0,,220391.0,2919914.0,6706182.0,,,20.0,TX,254.0,2010,2888831.0,192807.303222,652387.0,,,,2.5881517658894597,0.5782624303638144,,0.5782624303638144,0.39053340261164465,0.28085150768630246,0.7191484923136975,,2888831.0,,,govt
SWVMHI MED-SURG (490105),General Short Term (Acute Care Hospitals),Governmental-State,,,120.0,2.0,2011-06-30,7994032.0,8.0,,3217112.0,6589378.0,,1629412.0,17492925.0,621385.0,90390.0,5563.0,1692219.0,,13084585.0,3252359.0,2920.0,29071148.0,,-31678.0,0.89092,3.8,2010-07-01 00:00:00,232085.0,,5542.0,769.0,,1017240.0,,650281.0,79464.0,2051265.0,4610890.0,32630468.0,2312869.0,,8.0,VA,83.0,2010,9867473.0,1827513.0138,3252359.0,0.09430100989805107,-22594823.0,-3.428976604468586,2.8297876780089997,3.4154823948761885,2.2882634962796393,1.9960323110422655,0.32603200434396934,0.24587038870548816,0.7541296112945118,,9867473.0,0.5035985474510655,2.8490061477757713,govt
SYCAMORE SHOALS HOSPITAL (440018),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,457852.0,,5575.0,1.0,2011-06-30,13474910.0,101.0,,4791341.0,41146613.0,,4564483.0,17309730.0,2092286.0,8530376.0,1831366.0,4374098.0,,25773060.0,4242.0,39785.0,33359047.0,8.0,353806.0,0.175138,347.35,2010-07-01 00:00:00,1230873.0,,1620207.0,12933.0,,2495538.0,656069.0,130384.0,7708246.0,40717206.0,6505099.0,190472764.0,16667962.0,,109.0,TN,3378.0,2010,20981719.0,7131130.024428,4242.0,0.05084953164917851,1430611.0,0.03476862117423857,1.425155707667221,3.6525941711251857,1.1269276279482254,0.0009293495013564516,0.22835788621513806,0.18590501089121741,0.8140949891087825,5.98435377986157,20981719.0,1.59649700113219,2.4686049200256157,non-profit
SYRINGA GENERAL HOSPITAL (131315),General Short Term (Critical Access Hospitals),Governmental-Hospital District,86266.0,,1121.0,2.0,2011-09-30,,15.0,,2274267.0,10003675.0,,1379191.0,5778236.0,-614090.0,,1725422.0,608146.0,306180.0,9975943.0,1737460.0,5475.0,9453834.0,,336273.0,0.852429,108.02,2010-10-01 00:00:00,285849.0,,1764722.0,1596.0,,455905.0,71394.0,59326.0,,991767.0,5288926.0,11090471.0,4063967.0,,15.0,ID,300.0,2010,7701676.0,845410.952043,1737460.0,-0.06138644048312245,-1229491.0,-0.12290393280469428,3.8348031563431024,4.206398533633123,3.5845296264259265,1.2597675013830572,0.2952950760328012,0.22797513979380196,0.7720248602061981,-10.83544835700479,7701676.0,1.0027798875755405,2.461554190769758,govt
T.J. SAMSON COMMUNITY HOSPITAL (180017),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,1354741.0,,10209.0,2.0,2011-09-30,43253322.0,115.0,,66269182.0,123554644.0,,8259363.0,47007012.0,1558801.0,22870286.0,7995645.0,13850627.0,11801701.0,157374787.0,368398.0,47159.0,98580729.0,10.0,5635619.0,0.385503,885.75,2010-10-01 00:00:00,2289884.0,10.55,7800103.0,21509.0,11943730.0,5603444.0,216968.0,4019015.0,21045718.0,37065485.0,42493597.0,255719621.0,46294654.0,,129.0,KY,6136.0,2010,91105605.0,14288855.663955,12312128.0,0.012616288223047285,-2222435.0,-0.017987466339185115,5.144900036479811,7.095799276530164,4.38105190436599,0.04460368190621965,0.7273886387121846,0.4210914801746483,0.5789085198253517,15.582984587588953,91105605.0,0.7850980856291803,2.668874985003668,non-profit
TAHLEQUAH CITY HOSPITAL (370089),General Short Term (Acute Care Hospitals),Governmental-City-County,32627.0,,7537.0,2.0,2011-06-30,17147138.0,38.0,,32089909.0,70038367.0,,7592786.0,23861860.0,3094302.0,14976171.0,5342457.0,8001684.0,,66407812.0,14104530.0,22995.0,51813234.0,8.0,-128965.0,0.362133,534.03,2010-07-01 00:00:00,4401702.0,2.09,5320446.0,14071.0,,2197720.0,1361293.0,1691124.0,13579703.0,23919940.0,33911690.0,143077976.0,34058045.0,,63.0,OK,3615.0,2010,34317903.0,8662199.63202,14104530.0,0.04418009917335737,420510.0,0.006003994924667504,4.466303936394362,6.343201955118977,3.6638546114693606,1.8576224853433245,0.9350777930691161,0.4832249103463912,0.5167750896536089,1.9233405299226545,34317903.0,1.0546706011033762,2.0564412020713463,govt
TAHOE FOREST HOSPITAL (051328),General Short Term (Critical Access Hospitals),Governmental-Hospital District,2597015.0,,1711.0,2.0,2011-06-30,,29.0,,130967427.0,87638589.0,,13502629.0,27691445.0,5034028.0,,5105647.0,7611536.0,7769543.0,189519295.0,63107733.0,12775.0,69219185.0,6.0,6730038.0,0.543998,334.43,2010-07-01 00:00:00,2079036.0,,5552227.0,6083.0,,2983510.0,4867446.0,1160085.0,,15284463.0,98248862.0,127241682.0,25419424.0,,35.0,CA,1809.0,2010,58551868.0,8314717.3030739995,63107733.0,0.05744076961348613,14538093.0,0.1658868903058218,7.276276494007204,6.556290408334554,7.036388321118799,4.673736721937631,2.23677623743789,0.6910506236317521,0.3089493763682479,3.599752929976008,58551868.0,0.4624256807202665,3.4477016080301426,govt
TAHOE PACIFIC HOSPITAL  INC. (292004),General Long Term,Proprietary-Corporation,,,9053.0,1.0,2011-08-31,,60.0,,784265.0,29294549.0,,784265.0,8893130.0,8722323.0,,3764.0,,,71422730.0,1000.0,21900.0,19008747.0,,,,111.01,2010-09-01 00:00:00,148450.0,,3764.0,12813.0,,136643.0,,126275.0,,,70785703.0,97033964.0,5163613.0,,60.0,NV,494.0,2010,70638465.0,,1000.0,0.29774559765367953,8717889.0,0.2975942384366457,90.25737856464333,6.585290686183879,89.90708242749581,0.0012750792142961881,0.011102520418584973,0.010980607994121759,0.9890193920058783,,70638465.0,0.4101572286581597,5.67326579276952,for-profit
TAKOMA REGIONAL HOSPITAL (440050),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,1807584.0,,3357.0,2.0,2011-06-30,14162837.0,65.0,,8694366.0,48801844.0,,6306982.0,21360621.0,-2356270.0,5470896.0,3382357.0,4572058.0,3315844.0,26572002.0,3755464.0,26645.0,38591390.0,8.0,2629187.0,0.275513,356.22,2010-07-01 00:00:00,1030751.0,,3153999.0,7835.0,,2719548.0,6586.0,180240.0,5266371.0,23802218.0,9397930.0,140071240.0,7799296.0,,73.0,TN,1928.0,2010,17877636.0,6557820.487834,3755464.0,-0.04828239687008548,-2575154.0,-0.0527675552587726,1.490083529650156,1.832058502783106,1.298075529627324,0.5954454919960133,0.48632638006501533,0.3272002613879075,0.6727997386120925,21.92438505921652,17877636.0,1.8365889028609887,6.257211420107661,non-profit
TALLAHASSEE MEMORIAL HOSPITAL (100135),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,27048065.0,,28107.0,1.0,2011-09-30,137504051.0,372.0,,391953970.0,525849412.0,,78172865.0,172636469.0,66395844.0,62698770.0,17675425.0,44707884.0,68749715.0,490295287.0,157666504.0,157315.0,364787411.0,20.0,44091114.0,0.248553,2721.17,2010-10-01 00:00:00,6902669.0,32.44,17614646.0,110673.0,1542222.0,13779751.0,8772814.0,,53897148.0,258505448.0,236801286.0,1467644514.0,96618979.0,,431.0,FL,25202.0,2010,98341317.0,64252304.616744,159208726.0,0.12626398829176594,63087416.0,0.11997240000717163,3.0292005544379115,3.2725895999845984,,2.0168955557660575,3.985648982105863,0.7994243069279188,0.20057569307208128,8.761973866082194,98341317.0,1.0725157388673818,5.442506404461177,non-profit
TALLAHATCHIE CRITICAL ACCESS HOSPITA (251304),General Short Term (Critical Access Hospitals),Governmental-County,21730.0,,1554.0,2.0,2011-09-30,4431664.0,9.0,,10560900.0,14459728.0,,4583022.0,6495305.0,26531.0,,950291.0,219251.0,340.0,12158187.0,388154.0,3285.0,15065809.0,,853.0,0.708453,113.39,2010-10-01 00:00:00,54355.0,,1997315.0,1782.0,,850267.0,,2255.0,,767084.0,4573150.0,21265771.0,4398307.0,,9.0,MS,257.0,2010,1597287.0,543442.961052,388154.0,0.001834820129396625,-765133.0,-0.052914757456018535,0.997845962773035,1.044389706180769,0.985493851000497,0.08469389848008585,6.611773588591155,0.8686245737131696,0.13137542628683044,,1597287.0,1.1892996875274249,3.2875667842194733,govt
TAMPA GENERAL HOSPITAL (100128),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,56348701.0,,67199.0,1.0,2011-09-30,338286645.0,632.0,,758365270.0,1021325393.0,,225424473.0,380183442.0,22929330.0,207988366.0,25262527.0,189412846.0,68656371.0,1176556323.0,28824341.0,312805.0,886401006.0,68.0,68941838.0,0.186082,6257.3,2010-10-01 00:00:00,19216950.0,270.0,25335475.0,245910.0,33127933.0,34696906.0,,32218251.0,178813069.0,895248648.0,247087669.0,4763507669.0,,,857.0,FL,42701.0,2010,418191053.0,166589658.91713598,61952274.0,0.022450562922604236,-55393413.0,-0.054236792093545844,1.0960995747786444,0.27482496986917654,0.8679291356267249,0.12786695524402977,1.8134421206758815,0.6445635072244646,0.3554364927755354,,418191053.0,0.8680633243258683,inf,non-profit
TANNER MEDICAL CENTER (110011),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,11799153.0,,11930.0,1.0,2011-06-30,60689695.0,153.0,,154220094.0,181579889.0,,44034231.0,80750174.0,28420845.0,26167483.0,12252556.0,15244110.0,,353332262.0,31418591.0,60225.0,135377360.0,12.0,11599102.0,0.298737,1134.0,2010-07-01 00:00:00,3060400.0,,11986349.0,28110.0,40209292.0,14805688.0,3382948.0,,24258849.0,56340811.0,101187509.0,453166384.0,133299333.0,,165.0,GA,7152.0,2010,199112168.0,16831084.855706997,71627883.0,0.15651978397233188,-27076635.0,-0.1491169267098737,2.297928377584248,4.653816164065633,,0.7135037966258568,0.7745387715330386,0.4364732875708927,0.5635267124291073,-3.6272940051103357,199112168.0,0.5139069044309348,1.3621965310209017,non-profit
TANNER MEDICAL CENTER-VILLA RICA (110015),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,4475194.0,,2882.0,1.0,2011-06-30,18414363.0,34.0,,2377102.0,77033676.0,,2377102.0,22995433.0,6033615.0,5378165.0,3793158.0,12812625.0,,96096151.0,56740.0,14600.0,56171659.0,6.0,4376676.0,0.336309,313.0,2010-07-01 00:00:00,1378396.0,,3555031.0,7788.0,,3807507.0,,,4775893.0,40888316.0,54150948.0,167024010.0,66455218.0,,40.0,GA,2201.0,2010,93719049.0,13751108.665644001,56740.0,0.07832438114468275,18477296.0,0.23985998019878993,22.78023744879269,27.980270934945157,,0.023869400639938882,0.02536412848150006,0.02473670355433903,0.975263296445661,,93719049.0,0.8016312328680053,1.159181751536802,non-profit
TAUNTON STATE HOSPITAL (224001),Psychiatric,Governmental-State,,,417.0,1.0,2011-06-30,21838553.0,169.0,,,,,,22700419.0,-29861406.0,,5863.0,,,,,61685.0,33054735.0,,,0.786503,398.23,2010-07-01 00:00:00,,,5863.0,58389.0,,1278077.0,,,,,,42027493.0,,,169.0,MA,271.0,2010,,,0.0,,,,,,,,,,,,,,,govt
