Original Label,Curated Label
RIDDLE MEMORIAL HOSPITAL (390222),RIDDLE MEMORIAL HOSPITAL (390222)
RIDEOUT MEMORIAL HOSPITAL (050133),RIDEOUT MEMORIAL HOSPITAL (050133)
RIDGE (184009),RIDGE (184009)
RIDGECREST REGIONAL HOSPITAL (050448),RIDGECREST REGIONAL HOSPITAL (050448)
RIDGECREST REGIONAL HOSPITAL (051333),RIDGECREST REGIONAL HOSPITAL (051333)
RIDGEVIEW HOSPITAL (364047),RIDGEVIEW HOSPITAL (364047)
RIDGEVIEW INSTITUTE (114012),RIDGEVIEW INSTITUTE (114012)
RIDGEVIEW INSTITUE (114012),RIDGEVIEW INSTITUTE (114012)
RIDGEVIEW INSTITUTE MONROE (114037),RIDGEVIEW INSTITUTE MONROE (114037)
RIDGEVIEW INSTITUTE SMYRNA (114012),RIDGEVIEW INSTITUTE SMYRNA (114012)
RIDGEVIEW MEDICAL CENTER (240056),RIDGEVIEW MEDICAL CENTER (240056)
RIDGEVIEW PSYCHIATRIC HOSPITAL (444003),RIDGEVIEW PSYCHIATRIC HOSPITAL (444003)
RINGGOLD COUNTY HOSPITAL (161373),RINGGOLD COUNTY HOSPITAL (161373)
RIO GRANDE HOSPITAL (061301),RIO GRANDE HOSPITAL (061301)
RIO GRANDE REGIONAL HOSPITAL (450711),RIO GRANDE REGIONAL HOSPITAL (450711)
RIO GRANDE STATE CENTER (454088),RIO GRANDE STATE CENTER (454088)
RIO VISTA BEHAVIORAL HEALTH (454146),RIO VISTA BEHAVIORAL HEALTH (454146)
RIPLEY COUNTY MEMORIAL HOSPITAL (260080),RIPLEY COUNTY MEMORIAL HOSPITAL (260080)
RIPON MEDICAL CENTER (521321),RIPON MEDICAL CENTER (521321)
RIVENDELL ARKANSAS (044007),RIVENDELL ARKANSAS (044007)
RIVENDELL BEHAVIORAL HEALTH SRVCS KY (184017),RIVENDELL BEHAVIORAL HEALTH SRVCS KY (184017)
RIVER BEND HOSPITAL (154005),RIVER BEND HOSPITAL (154005)
RIVER CREST HOSPITAL (454064),RIVER CREST HOSPITAL (454064)
RIVER FALLS AREA HOSPITAL (521349),RIVER FALLS AREA HOSPITAL (521349)
RIVER HOSPITAL (331309),RIVER HOSPITAL (331309)
RIVER OAKS HOSPITAL (194031),RIVER OAKS HOSPITAL (194031)
RIVER OAKS HOSPITAL (250138),RIVER OAKS HOSPITAL (250138)
RIVER OAKS INC (194042),RIVER OAKS INC (194042)
RIVER PARISHES (190175),RIVER PARISHES (190175)
RIVER PARK HOSPITAL (440151),RIVER PARK HOSPITAL (440151)
RIVER PARK HOSPITAL (514008),RIVER PARK HOSPITAL (514008)
RIVER PLACE BEHAVIORAL HEALTH (194114),RIVER PLACE BEHAVIORAL HEALTH (194114)
RIVER POINT BEHAVIORAL HEALTH (104016),RIVER POINT BEHAVIORAL HEALTH (104016)
RIVER REGION MEDICAL CORP (250031),RIVER REGION MEDICAL CORP (250031)
RIVER VISTA HEALTH & WELNESS (364061),RIVER VISTA HEALTH & WELNESS (364061)
RIVERBRIDGE SPECIALTY HOSPITAL (192028),RIVERBRIDGE SPECIALTY HOSPITAL (192028)
RIVERCREST SPECIALTY HOSPITAL  LLC (154061),RIVERCREST SPECIALTY HOSPITAL  LLC (154061)
RIVEREDGE HOSPITAL (144009),RIVEREDGE HOSPITAL (144009)
RIVERLAND MEDICAL CENTER (191318),RIVERLAND MEDICAL CENTER (191318)
RIVERS EDGE HOSPITAL AND CLINIC (241334),RIVERS EDGE HOSPITAL AND CLINIC (241334)
RIVERSIDE COMMUNITY HOSPITAL (050022),RIVERSIDE COMMUNITY HOSPITAL (050022)
RIVERSIDE COUNTY REGIONAL MED CENTER (050292),RIVERSIDE COUNTY REGIONAL MED CENTER (050292)
RIVERSIDE DOCTORS HOSPITAL WILLIAMSB (490143),RIVERSIDE DOCTORS HOSPITAL WILLIAMSB (490143)
RIVERSIDE GENERAL HOSPITAL (450446),RIVERSIDE GENERAL HOSPITAL (450446)
RIVERSIDE HOSPITAL OF LOUISIANA (192043),RIVERSIDE HOSPITAL OF LOUISIANA (192043)
RIVERSIDE MEDICAL CENTER (140186),RIVERSIDE MEDICAL CENTER (140186)
RIVERSIDE MEDICAL CENTER (191313),RIVERSIDE MEDICAL CENTER (191313)
RIVERSIDE MEDICAL CENTER - AMENDED (191313),RIVERSIDE MEDICAL CENTER (191313)
RIVERSIDE MED CTR (191313),RIVERSIDE MEDICAL CENTER (191313)
RIVERSIDE MEDICAL CENTER (521334),RIVERSIDE MEDICAL CENTER (521334)
RIVERSIDE METHODIST HOSPITAL (360006),RIVERSIDE METHODIST HOSPITAL (360006)
RIVERSIDE REGIONAL MEDICAL CENTER (490052),RIVERSIDE REGIONAL MEDICAL CENTER (490052)
RIVERSIDE REHABILITATION INSTITUTE (493027),RIVERSIDE REHABILITATION INSTITUTE (493027)
RIVERSIDE TAPPAHANNOCK HOSPITAL (490084),RIVERSIDE TAPPAHANNOCK HOSPITAL (490084)
RIVERSIDE UNIVERSITY HEALTH SYSTEM (050292),RIVERSIDE UNIVERSITY HEALTH SYSTEM (050292)
RIVERSIDE WALTER REED (490130),RIVERSIDE WALTER REED (490130)
RIVERTON HOSPITAL (460058),RIVERTON HOSPITAL (460058)
RIVERTON MEMORIAL HOSPITAL (530008),RIVERTON MEMORIAL HOSPITAL (530008)
RIVERVALLEY BEHAVIORAL HEALTH (184013),RIVERVALLEY BEHAVIORAL HEALTH (184013)
RIVERVIEW HEALTHCARE ASSOCIATION (241320),RIVERVIEW HEALTHCARE ASSOCIATION (241320)
RIVERVIEW HOSPITAL (150059),RIVERVIEW HOSPITAL (150059)
RIVERVIEW HOSPITAL (520033),RIVERVIEW HOSPITAL (520033)
RIVERVIEW MEDICAL CENTER (310034),RIVERVIEW MEDICAL CENTER (310034)
RIVERVIEW PSYCHIATRIC HOSPITAL (204007),RIVERVIEW PSYCHIATRIC HOSPITAL (204007)
RIVERVIEW PSYCHIATRIC HOSPITAL (204008),RIVERVIEW PSYCHIATRIC HOSPITAL (204008)
RIVERVIEW REG MED CNTR NORTH (440186),RIVERVIEW REG MED CNTR NORTH (440186)
RIVERVIEW REGIONAL MEDICAL CENTER (010046),RIVERVIEW REGIONAL MEDICAL CENTER (010046)
RIVERVIEW REGIONAL MEDICAL CENTER (441307),RIVERVIEW REGIONAL MEDICAL CENTER (441307)
RIVERWOOD HEALTHCARE CENTER (241305),RIVERWOOD HEALTHCARE CENTER (241305)
RIVERWOODS BEHAVIORAL HEALTH SYSTEM (114035),RIVERWOODS BEHAVIORAL HEALTH SYSTEM (114035)
RJ BLACKLEY ADATC (344027),RJ BLACKLEY ADATC (344027)
RMC JACKSONVILLE (010146),RMC JACKSONVILLE (010146)
RML HEALTH PROVIDERS  L.P. (142010),RML HEALTH PROVIDERS  L.P. (142010)
RML SPECIALTY HOSPITAL (142010),RML SPECIALTY HOSPITAL (142010)
ROANE COUNTY MEDICAL CENTER (440031),ROANE COUNTY MEDICAL CENTER (440031)
ROANE GENERAL HOSPITAL (511306),ROANE GENERAL HOSPITAL (511306)
ROANOKE CHOWAN HOSPITAL (340099),ROANOKE CHOWAN HOSPITAL (340099)
ROBERT PACKER HOSPITAL (390079),ROBERT PACKER HOSPITAL (390079)
ROBERT WOOD JOHNSON HOSPITAL @ RAHW (310024),ROBERT WOOD JOHNSON HOSPITAL AT RAHW (310024)
ROBERT WOOD JOHNSON UNIV HOSP @ RAH (310024),ROBERT WOOD JOHNSON HOSPITAL AT RAHW (310024)
RWJUH AT RAHWAY (310024),ROBERT WOOD JOHNSON HOSPITAL AT RAHW (310024)
RWJ RAHWAY (310024),ROBERT WOOD JOHNSON HOSPITAL AT RAHW (310024)
ROBERT WOOD JOHNSON UNIV HOSP @ SOM (310048),ROBERT WOOD JOHNSON UNIV HOSP AT SOM (310048)
ROBERT WOOD JOHNSON UNIVERSITY HOSP (310038),ROBERT WOOD JOHNSON UNIVERSITY HOSP (310038)
ROBERT WOOD JOHNSON UNIV HOSPITAL (310038),ROBERT WOOD JOHNSON UNIVERSITY HOSP (310038)
ROBERT WOOD JOHNSON UNIVERSITY HOSPI (310038),ROBERT WOOD JOHNSON UNIVERSITY HOSP (310038)
ROBINSON MEMORIAL HOSPITAL (360078),ROBINSON MEMORIAL HOSPITAL (360078)
ROCHELLE COMMUNITY HOSPITAL (141312),ROCHELLE COMMUNITY HOSPITAL (141312)
ROCHESTER GENERAL HOSPITAL (330125),ROCHESTER GENERAL HOSPITAL (330125)
ROCHESTER P.C. (334020),ROCHESTER P.C. (334020)
ROCK COUNTY HOSPITAL (281333),ROCK COUNTY HOSPITAL (281333)
ROCK PRAIRIE BEHAVIORAL HEALTH (454125),ROCK PRAIRIE BEHAVIORAL HEALTH (454125)
ROCK REGIONAL HOSPITAL (170204),ROCK REGIONAL HOSPITAL (170204)
ROCK SPRINGS (454127),ROCK SPRINGS (454127)
ROCKCASTLE HOSPT. & RESPIR CARE CTR (180115),ROCKCASTLE HOSPT. & RESPIR CARE CTR (180115)
ROCKDALE HOSPITAL (451357),ROCKDALE HOSPITAL (451357)
ROCKDALE MEDICAL CENTER (110091),ROCKDALE MEDICAL CENTER (110091)
ROCKEFELLER UNIVERSITY HOSPITAL (330387),ROCKEFELLER UNIVERSITY HOSPITAL (330387)
ROCKEFFELLER UNIVERSITY HOSPITAL (330387),ROCKEFELLER UNIVERSITY HOSPITAL (330387)
ROCKFORD (084002),ROCKFORD (084002)
ROCKFORD MEMORIAL HOSPITAL (140239),ROCKFORD MEMORIAL HOSPITAL (140239)
ROCKINGHAM MEMORIAL HOSPITAL (490004),ROCKINGHAM MEMORIAL HOSPITAL (490004)
ROCKLAND CHILDRENS PYSCH CTR (334066),ROCKLAND CHILDRENS PSYCH CENTER (334066)
ROCKLAND CHILDRENS PSYCH CENTER (334066),ROCKLAND CHILDRENS PSYCH CENTER (334066)
ROCKLAND CHILDRENS PSYCH CTR (334066),ROCKLAND CHILDRENS PSYCH CENTER (334066)
ROCKLAND CHILDRENS PSYCHIATRIC CENT (334066),ROCKLAND CHILDRENS PSYCH CENTER (334066)
ROCKLAND P.C. (334015),ROCKLAND P.C. (334015)
ROCKLEDGE REGIONAL MEDICAL CENTER (100092),ROCKLEDGE REGIONAL MEDICAL CENTER (100092)
ROCKVILLE GENERAL HOSPITAL  INC. (070012),ROCKVILLE GENERAL HOSPITAL  INC. (070012)
ROGER MILLS MEMORIAL HOSPITAL (371303),ROGER MILLS MEMORIAL HOSPITAL (371303)
ROGER WILLIAMS HOSPITAL (410004),ROGER WILLIAMS HOSPITAL (410004)
ROGER WILLIAMS MEDICAL CENTER (410004),ROGER WILLIAMS MEDICAL CENTER (410004)
ROGERS CITY REHABILITATION HOSPITAL (233029),ROGERS CITY REHABILITATION HOSPITAL (233029)
ROGERS MEMORIAL HOSPITAL  INC. (524018),ROGERS MEMORIAL HOSPITAL  INC. (524018)
ROGUE VALLEY MEDICAL CENTER (380018),ROGUE VALLEY MEDICAL CENTER (380018)
ROGUE REGIONAL MEDICAL CENTER (380018),ROGUE VALLEY MEDICAL CENTER (380018)
ROLLING HILLS HOSPITAL (374016),ROLLING HILLS HOSPITAL (374016)
ROLLING HILLS HOSPITAL (444007),ROLLING HILLS HOSPITAL (444007)
ROLLING PLAINS MEMORIAL HOSPITAL (450055),ROLLING PLAINS MEMORIAL HOSPITAL (450055)
ROLLINS BROOK COMMUNITY HOSPITAL CAH (451323),ROLLINS BROOK COMMUNITY HOSPITAL CAH (451323)
ROME MEMORIAL HOSPITAL  INC. (330215),ROME MEMORIAL HOSPITAL  INC. (330215)
RONALD REAGAN UCLA (050262),RONALD REAGAN UCLA (050262)
RONALD REAGAN UCLA MEDICAL CENTER (050262),RONALD REAGAN UCLA MEDICAL CENTER (050262)
ROOKS COUNTY HEALTH CENTER (171311),ROOKS COUNTY HEALTH CENTER (171311)
ROOSEVELT GENERAL HOSPITAL (320084),ROOSEVELT GENERAL HOSPITAL (320084)
ROOSEVELT MEDICAL CENTER (271308),ROOSEVELT MEDICAL CENTER (271308)
ROOSEVELT WARM SPRINGS LTAC HOSPITAL (112000),ROOSEVELT WARM SPRINGS LTAC HOSPITAL (112000)
ROOSEVELT WARM SPRINGS REHAB HOSP (113028),ROOSEVELT WARM SPRINGS REHAB HOSP (113028)
ROPER HOSPITAL  INC. (420087),ROPER HOSPITAL (420087)
ROPER HOSPITAL (420087),ROPER HOSPITAL (420087)
ROPER ST. FRANCIS HOSPITAL-BERKELEY (420110),ROPER ST. FRANCIS HOSPITAL-BERKELEY (420110)
ROPER ST. FRANCIS MT PLEASANT HOSPIT (420104),ROPER ST. FRANCIS MT PLEASANT HOSPIT (420104)
ROSE MEDICAL CENTER (060032),ROSE MEDICAL CENTER (060032)
ROSEBUD COMMUNITY HOSPITAL (271327),ROSEBUD COMMUNITY HOSPITAL (271327)
USPHS HOSPITAL - ROSEBUD (430084),ROSEBUD INDIAN HEALTH SERVICE (430084)
ROSEBUD INDIAN HEALTH SERVICE (430084),ROSEBUD INDIAN HEALTH SERVICE (430084)
ROSELAND COMMUNITY HOSPITAL (140068),ROSELAND COMMUNITY HOSPITAL (140068)
330354 (330354),ROSWELL PARK CANCER INSTITUTE (330354)
ROSWELL PARK CANCER INSTITUTE (330354),ROSWELL PARK CANCER INSTITUTE (330354)
ROSWELL REGIONAL HOSPITAL (320086),ROSWELL REGIONAL HOSPITAL (320086)
ROTHMAN ORTHOPAEDIC SPECIALTY HOSPIT (390322),ROTHMAN ORTHOPAEDIC SPECIALTY HOSPITAL (390322)
ROTHMAN ORTHOPAEDIC SPECIALTY HOSPI (390322),ROTHMAN ORTHOPAEDIC SPECIALTY HOSPITAL (390322)
ROUND ROCK HOSPITAL (670034),ROUND ROCK HOSPITAL (670034)
ROUND ROCK MEDICAL CENTER (450718),ROUND ROCK MEDICAL CENTER (450718)
ROUNDUP MEMORIAL HEALTHCARE (271346),ROUNDUP MEMORIAL HEALTHCARE (271346)
ROWAN REGIONAL HOSPITAL (340015),ROWAN REGIONAL HOSPITAL (340015)
ROXBOROUGH MEMORIAL HOSPITAL (390304),ROXBOROUGH MEMORIAL HOSPITAL (390304)
ROXBOROUGH  MEMORIAL HOSPITAL (390304),ROXBOROUGH MEMORIAL HOSPITAL (390304)
ROXBURY PSYCHIATRIC HOSPITAL (394050),ROXBURY PSYCHIATRIC HOSPITAL (394050)
ROY L SCHNEIDER HOSPITAL (480001),ROY L SCHNEIDER HOSPITAL (480001)
ROYAL OAKS HOSPITAL (264020),ROYAL OAKS HOSPITAL (264020)
RUBY VALLEY HOSPITAL (271319),RUBY VALLEY HOSPITAL (271319)
RUMFORD HOSPITAL (201306),RUMFORD HOSPITAL (201306)
RUNNELLS SPECIALIZED HOSPITAL (314027),RUNNELLS SPECIALIZED HOSPITAL (314027)
RURAL HEALTHCARE OF OKLAHOMA (372017),RURAL HEALTHCARE OF OKLAHOMA (372017)
RUSH COUNTY MEMORIAL HOSPITAL (171342),RUSH COUNTY MEMORIAL HOSPITAL (171342)
RUSH FOUNDATION HOSPITAL (250069),RUSH FOUNDATION HOSPITAL (250069)
RUSH MEMORIAL HOSPITAL (151304),RUSH MEMORIAL HOSPITAL (151304)
RUSH UNIVERSITY MEDICAL CENTER (140119),RUSH UNIVERSITY MEDICAL CENTER (140119)
RUSK COUNTY MEMORIAL HOSPITAL & NH (521328),RUSK COUNTY MEMORIAL HOSPITAL & NH (521328)
RUSK REHAB HOSPITAL (263027),RUSK REHAB HOSPITAL (263027)
RUSK REHABILITATION CENTER  A JOINT (263027),RUSK REHABILITATION CENTER  A JOINT (263027)
RUSK REHABILITATION HOSPITAL  AN AFF (263027),RUSK REHABILITATION HOSPITAL  AN AFF (263027)
RUSK STATE HOSPITAL (454009),RUSK STATE HOSPITAL (454009)
RUSSELL COUNTY HOSPITAL (181330),RUSSELL COUNTY HOSPITAL (181330)
RUSSELL COUNTY HOSPITAL (490002),RUSSELL COUNTY HOSPITAL (490002)
RUSSELL COUNTY MEDICAL CENTER (490002),RUSSELL COUNTY MEDICAL CENTER (490002)
RUSSELL MEDICAL CENTER (010065),RUSSELL MEDICAL CENTER (010065)
RUSSELL REGIONAL HOSPITAL (171350),RUSSELL REGIONAL HOSPITAL (171350)
RUSSELLVILLE HOSPITAL (010158),RUSSELLVILLE HOSPITAL (010158)
RUTHERFORD HOSPITAL  INC. (340013),RUTHERFORD HOSPITAL  INC. (340013)
RUTLAND REGIONAL MEDICAL CENTER (470005),RUTLAND REGIONAL MEDICAL CENTER (470005)
RWJ UNIVERSITY HOSPITAL HAMILTON (310110),RWJ UNIVERSITY HOSPITAL HAMILTON (310110)
ROBERT WOOD JOHNSON HOSPITAL @ HAMI (310110),RWJ UNIVERSITY HOSPITAL HAMILTON (310110)
ROBERT WOOD JOHNSON UNIV HOSP @ HAM (310110),RWJ UNIVERSITY HOSPITAL HAMILTON (310110)
RYDER (400007),RYDER MEMORIAL HOSPITAL (400007)
RYDER MEMORIAL HOSPITAL (400007),RYDER MEMORIAL HOSPITAL (400007)
RYE PSYCHIATRIC HOSPITAL CENTER  INC (334033),RYE PSYCHIATRIC HOSPITAL CENTER  INC (334033)
S.E. LACKEY MEMORIAL HOSPITAL (251300),S.E. LACKEY MEMORIAL HOSPITAL (251300)
LACKEY MEMORIAL HOSPITAL (251300),S.E. LACKEY MEMORIAL HOSPITAL (251300)
S.E. REGL MEDICAL CENTER (340050),S.E. REGL MEDICAL CENTER (340050)
SA WARM SPRINGS REHAB HOSP (453035),SA WARM SPRINGS REHAB HOSP (453035)
SABINE MEDICAL CENTER (190218),SABINE MEDICAL CENTER (190218)
SAC-OSAGE HOSPITAL (260147),SAC-OSAGE HOSPITAL (260147)
SACRED HEART HOSPITAL (100025),SACRED HEART HOSPITAL (100025)
SACRED HEART HOSPITAL (140151),SACRED HEART HOSPITAL (140151)
SACRED HEART HOSPITAL (390197),SACRED HEART HOSPITAL (390197)
SACRED HEART HOSPITAL (520013),SACRED HEART HOSPITAL (520013)
SACRED HEART HOSPITAL (521313),SACRED HEART HOSPITAL (521313)
SACRED HEART HOSPITAL ON THE EMERALD (100292),SACRED HEART HOSPITAL ON THE EMERALD (100292)
SACRED HEART HOSPITAL ON THE GULF (100313),SACRED HEART HOSPITAL ON THE GULF (100313)
SACRED HEART MEDICAL CENTER (380033),SACRED HEART MEDICAL CENTER (380033)
SACRED HEART MED CTR - UNIVERSITY (380033),SACRED HEART MEDICAL CENTER (380033)
SACRED HEART REHABILITATION (523025),SACRED HEART REHABILITATION (523025)
SACRED OAK MEDICAL CENTER (454142),SACRED OAK MEDICAL CENTER (454142)
SADDLEBACK MEMORIAL MEDICAL CENTER (050603),SADDLEBACK MEMORIAL MEDICAL CENTER (050603)
SAFE HAVEN HOSPITAL (134011),SAFE HAVEN HOSPITAL (134011)
SAFE HAVEN HOSPITAL (134016),SAFE HAVEN HOSPITAL (134016)
SAFE HAVEN HOSPITAL TREASURE VALLEY (134009),SAFE HAVEN HOSPITAL TREASURE VALLEY (134009)
SAGAMORE CHILDRENS PSYCH CENTER (334064),SAGAMORE CHILDRENS PSYCH CENTER (334064)
SAGAMORE CHILDRENS PSYCHIATRIC CENT (334064),SAGAMORE CHILDRENS PSYCH CENTER (334064)
SAGAMORE CHILDRENS PSYCH CTR (334064),SAGAMORE CHILDRENS PSYCH CENTER (334064)
SAGE MEMORIAL HOSPITAL (031309),SAGE MEMORIAL HOSPITAL (031309)
SAGE REHAB HOSPITAL OF LAFAYETTE (713027),SAGE REHAB HOSPITAL OF LAFAYETTE (713027)
SAGE REHAB. HOSPITAL (193078),SAGE REHABILITATION HOSPITAL (193078)
SAGE REHAB HOSPITAL (193078),SAGE REHABILITATION HOSPITAL (193078)
SAGE REHABILITATION HOSPITAL (193078),SAGE REHABILITATION HOSPITAL (193078)
SAGE SPECIALTY CARE HOSPITAL (192008),SAGE SPECIALTY CARE HOSPITAL (192008)
SAGE WEST HEALTH CARE (530008),SAGE WEST HEALTH CARE (530008)
SAGECREST HOSPITAL - GRAPEVINE (452110),SAGECREST HOSPITAL - GRAPEVINE (452110)
LEGENT ORTHOPEDIC HOSPITAL CARROLLTO (670265),LEGENT ORTHOPEDIC HOSPITAL CARROLLTO (670265)
SAGECREST HOSPITAL (670265),SAGECREST HOSPITAL (670265)
SAGECREST HOSPITAL GRAPEVINE (670265),SAGECREST HOSPITAL GRAPEVINE (670265)
SAINT ALPHONSUS MEDICAL CENTER - ONT (380052),SAINT ALPHONSUS MEDICAL CENTER - ONT (380052)
SAINT ALPHONSUS MEDICAL CENTER BAKER (381315),SAINT ALPHONSUS MEDICAL CENTER BAKER (381315)
SAINT ALPHONSUS MEDICAL CENTER-NAMPA (130013),SAINT ALPHONSUS MEDICAL CENTER-NAMPA (130013)
ST. ALPHONSUS MEDICAL CENTER - NAMP (130013),SAINT ALPHONSUS MEDICAL CENTER-NAMPA (130013)
SAINT ALPHONSUS NEIGHBORDHOOD HOSP (130072),SAINT ALPHONSUS NEIGHBORDHOOD HOSP (130072)
SAINT ALPHONSUS REGIONAL REHABILITAT (133028),SAINT ALPHONSUS REGIONAL REHABILITAT (133028)
SAINT ANTHONY HOSPITAL (140095),SAINT ANTHONY HOSPITAL (140095)
ST ANTHONY HOSPTAL (140095),SAINT ANTHONY HOSPITAL (140095)
SAINT ANTHONY MEDICAL CENTER (140233),SAINT ANTHONY MEDICAL CENTER (140233)
SAINT ANTHONYS HEALTH CENTER (140052),SAINT ANTHONYS HEALTH CENTER (140052)
ST BARNABAS MEDICAL CENTER (310076),SAINT BARNABAS MEDICAL CENTER (310076)
SAINT BARNABAS MEDICAL CENTER (310076),SAINT BARNABAS MEDICAL CENTER (310076)
SAINT CATHERINE MEDICAL CENTER (390313),SAINT CATHERINE MEDICAL CENTER (390313)
SAINT CLARES HOSPITAL (310050),SAINT CLARES HOSPITAL (310050)
ST. CLARE S HOSPITAL - DENVILLE (310050),SAINT CLARES HOSPITAL (310050)
ST. CLARES HOSPITAL- DENVILLE (310050),SAINT CLARES HOSPITAL (310050)
SI. CLARES HOSPITAL - DENVILLE (310050),SAINT CLARES HOSPITAL (310050)
SAINT CLARES HOSPITAL- DENVILLE (310050),SAINT CLARES HOSPITAL (310050)
ST. CLARES  HOSPITAL (310050),SAINT CLARES HOSPITAL (310050)
ST. CLARES HOSPITAL - DENVILLE (310050),SAINT CLARES HOSPITAL (310050)
ST. CLARES HOSPITAL (310050),SAINT CLARES HOSPITAL (310050)
SAINT CLARES HOSPITAL (520202),SAINT CLARES HOSPITAL (520202)
SAINT ELIZABETH RMC (280020),SAINT ELIZABETH RMC (280020)
SAINT FRANCIS HOSPITAL (070002),SAINT FRANCIS HOSPITAL (070002)
SAINT FRANCIS HOSPITAL (140080),SAINT FRANCIS HOSPITAL (140080)
SAINT FRANCIS HOSPITAL (330067),SAINT FRANCIS HOSPITAL (330067)
SAINT FRANCIS HOSPITAL (370091),SAINT FRANCIS HOSPITAL (370091)
SAINT FRANCIS HOSPITAL MUSKOGEE (370025),SAINT FRANCIS HOSPITAL MUSKOGEE (370025)
SAINT FRANCIS HOSPITAL SOUTH (370218),SAINT FRANCIS HOSPITAL SOUTH (370218)
SAINT FRANCIS HOSPITAL VINITA (370237),SAINT FRANCIS HOSPITAL VINITA (370237)
SAINT FRANCIS MEDICAL CENTER (140067),SAINT FRANCIS MEDICAL CENTER (140067)
SAINT FRANCIS MEDICAL CENTER (260183),SAINT FRANCIS MEDICAL CENTER (260183)
SAINT FRANCIS MEDICAL CENTER (280023),SAINT FRANCIS MEDICAL CENTER (280023)
SAINT FRANCIS MEMORIAL HOSPITAL (050152),SAINT FRANCIS MEMORIAL HOSPITAL (050152)
SAINT FRANCIS MEMORIAL HOSPITAL (281322),SAINT FRANCIS MEMORIAL HOSPITAL (281322)
SAINT JAMES COMMUNITY HOSPITAL (270017),SAINT JAMES COMMUNITY HOSPITAL (270017)
SAINT JAMES HEALTHCARE (270017),SAINT JAMES HEALTHCARE (270017)
SAINT JAMES HOSPITAL (140161),SAINT JAMES HOSPITAL (140161)
SAINT JOHNS HEALTH SYSTEM (150088),SAINT JOHNS HEALTH SYSTEM (150088)
SAINT JOHNS HOSPITAL (050290),SAINT JOHNS HOSPITAL (050290)
SAINT JOSEPH BEREA (181329),SAINT JOSEPH BEREA (181329)
SAINT JOSEPH EAST (180143),SAINT JOSEPH EAST (180143)
SAINT JOSEPH HOSPITAL (060028),SAINT JOSEPH HOSPITAL (060028)
SAINT JOSEPH HOSPITAL (140224),SAINT JOSEPH HOSPITAL (140224)
SAINT JOSEPH HOSPITAL (180010),SAINT JOSEPH HOSPITAL (180010)
SAINT JOSEPH MARTIN (181305),SAINT JOSEPH MARTIN (181305)
ST. JOSEPH MARTIN (181305),SAINT JOSEPH MARTIN (181305)
ST. JOESPH MARTIN (181305),SAINT JOSEPH MARTIN (181305)
SAINT JOSEPH MEMORIAL HOSPITAL (141334),SAINT JOSEPH MEMORIAL HOSPITAL (141334)
SAINT JOSEPH MEMORIAL (141334),SAINT JOSEPH MEMORIAL HOSPITAL (141334)
SAINT JOSEPH MOUNT STERLING (180064),SAINT JOSEPH MOUNT STERLING (180064)
SAINT LOUIS UNIVERSITY HOSPITAL (260105),SAINT LOUIS UNIVERSITY HOSPITAL (260105)
SAINT LUKES CANCER INSTITUTE (260211),SAINT LUKES CANCER INSTITUTE (260211)
SAINT LUKES CUSHING HOSPITAL (170133),SAINT LUKES CUSHING HOSPITAL (170133)
SAINT LUKES HOSPITAL OF KANSAS CITY (260138),SAINT LUKES HOSPITAL OF KANSAS CITY (260138)
ST. LUKES HOSPITAL OF KANSAS CITY (260138),SAINT LUKES HOSPITAL OF KANSAS CITY (260138)
ST. LUKES NORTHLAND HOSPITAL (260062),SAINT LUKES NORTH HOSPITAL (260062)
SAINT LUKES NORTH HOSPITAL (260062),SAINT LUKES NORTH HOSPITAL (260062)
SAINT MARYS HEALTH CARE (230059),SAINT MARYS HEALTH CARE (230059)
SAINT MARYS HOSPITAL (281342),SAINT MARYS HOSPITAL (281342)
ASPIRUS RHINELANDER HOSPITAL (520019),ASPIRUS RHINELANDER HOSPITAL (520019)
SAINT MARYS HOSPITAL (520019),SAINT MARYS HOSPITAL (520019)
SAINT THOMAS HIGHLAND HOSPITAL (440192),SAINT THOMAS HIGHLAND HOSPITAL (440192)
SAINT THOMAS HOSPITAL (440082),SAINT THOMAS HOSPITAL (440082)
SAINT THOMAS MIDTOWN HOSPITAL (440133),SAINT THOMAS MIDTOWN HOSPITAL (440133)
SAINT THOMAS RUTHERFORD HOSPITAL (440053),SAINT THOMAS RUTHERFORD HOSPITAL (440053)
SAINT THOMAS STONES RIVER HOSPITAL (440200),SAINT THOMAS STONES RIVER HOSPITAL (440200)
SAINT THOMAS WEST HOSPITAL (440082),SAINT THOMAS WEST HOSPITAL (440082)
SAINT VINCENT HEALTH CENTER (390009),SAINT VINCENT HEALTH CENTER (390009)
SAINT VINCENT HOSPITAL (220176),SAINT VINCENT HOSPITAL (220176)
SAINT VINCENT HOSPITAL (390009),SAINT VINCENT HOSPITAL (390009)
SAINTS MARY AND ELIZABETH MED CTR (140180),SAINTS MARY AND ELIZABETH MED CTR (140180)
SAINTS MEDICAL CENTER (220082),SAINTS MEDICAL CENTER (220082)
SAKAKAWEA MEDICAL CENTER (351310),SAKAKAWEA MEDICAL CENTER (351310)
SALEM COMMUNITY HOSPITAL (360185),SALEM COMMUNITY HOSPITAL (360185)
SALEM HEALTH WEST VALLEY (381308),SALEM HEALTH WEST VALLEY (381308)
SALEM HOSPITAL (380051),SALEM HOSPITAL (380051)
SALEM MEDICAL CENTER (310091),SALEM MEDICAL CENTER (310091)
